,psi1,lam1,r,r0,alpha,rep
176,0.85,0.7,0.4677071733467426,3.0,0.8528784648187633,4.0
177,0.85,0.7,0.5,3.2071349029490928,0.8213552361396304,4.0
178,0.85,0.7375,0.5,3.0,0.8421052631578947,4.0
179,0.8285714285714285,0.7,0.5,3.0,0.9111617312072893,4.0
180,0.85,0.7,0.5345224838248488,3.0,0.7952286282306164,4.0
181,0.85,0.7,0.5,2.8062430400804566,0.7619047619047619,4.0
182,0.85,0.657142857142857,0.5,3.0,0.8179959100204499,4.0
183,0.86875,0.7,0.5,3.0,0.8016032064128257,4.0
184,0.85,0.7,0.6013377943029549,3.0,0.70298769771529,4.0
185,0.85,0.7,0.5,2.4944382578492945,0.7207207207207207,4.0
186,0.85,0.5660714285714286,0.5,3.0,0.7532956685499058,4.0
187,0.8962962962962963,0.7,0.5,3.0,0.7707129094412332,4.0
188,0.85,0.7,0.6681531047810609,3.0,0.7054673721340388,4.0
189,0.85,0.7,0.5,2.244994432064365,0.6655574043261231,4.0
190,0.85,0.4642857142857143,0.5,3.0,0.7054673721340388,4.0
191,0.916,0.7,0.5,3.0,0.64,4.0
192,0.85,0.7,0.7349684152591671,3.0,0.631911532385466,4.0
193,0.85,0.7,0.5,2.0409040291494227,0.631911532385466,4.0
194,0.85,0.35178571428571415,0.5,3.0,0.6279434850863422,4.0
195,0.9305785123966942,0.7,0.5,3.0,0.631911532385466,4.0
196,0.85,0.7,0.8017837257372732,3.0,0.5594405594405595,4.0
197,0.85,0.7,0.5,1.8708286933869707,0.5256241787122208,4.0
198,0.85,0.22857142857142854,0.5,3.0,0.5925925925925926,4.0
199,0.9416666666666667,0.7,0.5,3.0,0.5805515239477503,4.0
